Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Penalty Amount,Interest Amount,Reduction Amount,Payment Amount,Amount Due,Precinct,County,Issuing Agency,Violation Status,Summons Image
37504MH,NY,COM,8378548296,01/13/2017,01:55P,NO STANDING-BUS STOP,,115.00,0.00,0.00,0.00,115.00,0.00,048,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTk0wOUVWVEJQUkVrMVRtYzlQUT09&locationName=_____________________)
46422JZ,NY,COM,1414704010,12/17/2016,09:57A,INSP. STICKER-EXPIRED/MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVFNUVZM2RPUkVGNFRVRTlQUT09&locationName=_____________________)
37504MH,NY,COM,5091493815,05/07/2016,06:03A,FAILURE TO STOP AT RED LIGHT,08/04/2016,50.00,25.00,0.77,0.00,75.77,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VMVVVVFZOZW1kNFRsRTlQUT09&locationName=_____________________)
30271JX,NY,COM,8479603239,11/23/2016,11:16A,NO STOPPING-DAY/TIME LIMITS,,115.00,10.00,0.00,0.00,125.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOVVXWGROZWtsNlQxRTlQUT09&locationName=_____________________)
37277MC,NY,COM,8485001023,12/13/2016,11:25A,DOUBLE PARKING,,115.00,0.00,0.00,0.00,115.00,0.00,014,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVRWGROVkVGNVRYYzlQUT09&locationName=_____________________)
37504MH,NY,COM,8498458353,03/23/2017,08:22A,NO STANDING-DAY/TIME LIMITS,,115.00,0.00,0.00,0.00,115.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VOUVVVEZQUkUweFRYYzlQUT09&locationName=_____________________)
37504MH,NY,COM,8498458365,03/23/2017,08:23A,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VOUVVVEZQUkUweVRsRTlQUT09&locationName=_____________________)
85051JV,NY,COM,1414698306,12/17/2016,10:05A,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVFNUVXVFZQUkUxM1RtYzlQUT09&locationName=_____________________)
46422JZ,NY,COM,1414704008,12/17/2016,09:55A,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVFNUVZM2RPUkVGM1QwRTlQUT09&locationName=_____________________)
75669MD,NY,COM,4006900170,01/19/2017,11:04A,BUS LANE VIOLATION,,115.00,0.00,0.00,0.00,115.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmQwNXFhM2ROUkVVelRVRTlQUT09&locationName=_____________________)
